,Country code,Country,Region,Subregion,Population 2017,"Estimate of firearms in civilian possession","Estimate of Computation civilian firearms method per 100 persons",Method of computation,Registered firearms,Unregistered firearms
213,TKM,Turkmenistan,Asia,Central Asia,5503000.0,23000,0.4,3.0,,
214,TCA,Turks and Caicos Islands,Americas,Caribbean,35000.0,1000,3.3,2.0,300.0,700.0
215,TUV,Tuvalu,Oceania,Polynesia,10000.0,100,1.2,2.0,50.0,50.0
216,UGA,Uganda,Africa,Eastern Africa,41653000.0,331000,0.8,2.0,21156.0,309844.0
217,UKR,Ukraine,Europe,Eastern Europe,44405000.0,4396000,9.9,2.0,800000.0,3596000.0
218,ARE,United Arab Emirates,Asia,Western Asia,9398000.0,1569000,16.7,3.0,,
219,USA,United States of America,Americas,Northern America,326474000.0,393347000,120.5,1.0,1073743.0,392273257.0
220,URY,Uruguay,Americas,South America,3457000.0,1198000,34.7,2.0,605313.0,592687.0
221,UZB,Uzbekistan,Asia,Central Asia,30691000.0,127000,0.4,3.0,,
222,VUT,Vanuatu,Oceania,Melanesia,276000.0,11000,3.9,2.0,4700.0,6300.0
223,VEN,"Venezuela, Bolivarian Republic of",Americas,South America,31926000.0,5895000,18.5,2.0,,
224,VNM,Vietnam,Asia,South-eastern Asia,95415000.0,1562000,1.6,2.0,,
225,VGB,Virgin Islands (U.K.),Americas,Caribbean,31000.0,300,0.8,2.0,48.0,252.0
226,VIR,Virgin Islands (U.S.),Americas,Caribbean,107000.0,18000,16.6,2.0,,
227,YEM,Yemen,Asia,Western Asia,28120000.0,14859000,52.8,2.0,,
228,ZMB,Zambia,Africa,Eastern Africa,17238000.0,158000,0.9,2.0,86642.0,71358.0
229,ZWE,Zimbabwe,Africa,Eastern Africa,16338000.0,455000,2.8,2.0,190685.0,264315.0
